type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci
model,1,1,0.4,0.634963056,0.003978845810154949
model,1,1,0.5,0.7709211264,0.004247527825830179
model,1,1,0.6,0.9610044608,0.012290625514935006
model,1,1,0.7,1.0851901792,0.010083108562235422
model,1,1,0.8,1.2430099008,0.009286576249431066
model,1,1,0.9,1.3776316064,0.010420475064473717
model,1,1,1,1.5197027072,0.012642847635590218
model,1,1,1.1,1.6584968512,0.016184856612501356
model,1,1,1.2,1.8738706592,0.01260566166760861
model,1,2,0.4,0.7441914528,0.007056018063663456
model,1,2,0.5,1.0104931296,0.01083961050746307
model,1,2,0.6,1.1446016576,0.007194056870751209
model,1,2,0.7,1.3335639328,0.00809153000192627
model,1,2,0.8,1.5570290272,0.01458602849908133
model,1,2,0.9,1.7088394624,0.013495830602959554
model,1,2,1,1.8981480416,0.01586848753619653
model,1,2,1.1,2.0544791584,0.015681643965981647
model,1,2,1.2,2.2426687904,0.019167277825860186
model,1,4,0.4,1.1103395744,0.0073775860139903855
model,1,4,0.5,1.437023696,0.013806418167403856
model,1,4,0.6,1.7560319072000001,0.015612051524255743
model,1,4,0.7,1.9196060128,0.023078536662855018
model,1,4,0.8,2.3146976352,0.016563505970503562
model,1,4,0.9,2.6051692928000003,0.015309812379035831
model,1,4,1,2.8935042624,0.027769976138718795
model,1,4,1.1,3.1671858144,0.031765967297029685
model,1,4,1.2,3.3789710048,0.03133870478067802
model,1,8,0.4,2.2163346816000002,0.02169014984174089
model,1,8,0.5,2.8699211136000002,0.015800275254765447
model,1,8,0.6,3.308967312,0.02704700940013781
model,1,8,0.7,3.9867858272,0.0400709200950544
model,1,8,0.8,4.6991944224,0.027729677695718703
model,1,8,0.9,5.2440520928000005,0.039808507448991594
model,1,8,1,5.4745090912,0.04886979385204317
model,1,8,1.1,5.9964436992,0.03894294031337145
model,1,8,1.2,6.7276506592,0.0549921448358818
model,128,1,0.8,1.247979737,0.006782830707819813
model,128,1,0.9,1.4312769066,0.009335119785205993
model,128,1,1,1.5761307258,0.011019765111994633
model,128,1,1.1,1.7286628404,0.0080485099777742
model,128,1,1.2,1.8504318704,0.011347860519958609
model,128,2,0.8,1.5177893498,0.006666544969472879
model,128,2,0.9,1.7185761968,0.007815275669671204
model,128,2,1,1.8960746,0.010911939449829029
model,128,2,1.1,2.1295484114,0.010071665790851147
model,128,2,1.2,2.3483739326,0.014997801553869667
model,128,4,0.8,2.3158059614,0.015205932064292122
model,128,4,0.9,2.5863534318,0.012240350135439096
model,128,4,1,2.8302432479,0.016871439549081768
model,128,4,1.1,3.1243113035,0.020171623889330272
model,128,4,1.2,3.45319093075,0.022084788028868645
model,128,8,0.8,4.55129463915,0.030845204862310502
model,128,8,0.9,5.1414206270000005,0.02721834858122414
model,128,8,1,5.7274187055,0.028319429338894204
model,128,8,1.1,6.2038050032,0.03856119632131473
model,128,8,1.2,6.8489998303999995,0.03937720739461798
model,16,1,0.8,1.2693578488000001,0.008201049526506778
model,16,1,0.9,1.3804224276,0.009472524046165847
model,16,1,1,1.5398810406,0.009575939781758162
model,16,1,1.1,1.69749648775,0.00821838852491937
model,16,1,1.2,1.8644965632,0.012682737544056532
model,16,2,0.8,1.5523820006,0.009111757740833113
model,16,2,0.9,1.73092606365,0.01130014145487191
model,16,2,1,1.89241279885,0.010816318013795593
model,16,2,1.1,2.155781367,0.012856568306693008
model,16,2,1.2,2.2882939088,0.01051532884308473
model,16,4,0.8,2.2973728865000003,0.011471386596578129
model,16,4,0.9,2.5660055218,0.017201290153564638
model,16,4,1,2.8593567995,0.018177861138503965
model,16,4,1.1,3.127530856,0.01688823184078039
model,16,4,1.2,3.4174211064,0.017421035319233533
model,16,8,0.8,4.5342175368,0.027917896048428002
model,16,8,0.9,5.0961730512,0.03071610892793688
model,16,8,1,5.6927130944,0.046910540927220266
model,16,8,1.1,6.251530624,0.03726232035700948
model,16,8,1.2,6.790214868800001,0.04035617096191211
model,2,1,0.4,0.6264219848,0.0044849539500465925
model,2,1,0.5,0.7958621088,0.007743166508099899
model,2,1,0.6,0.9108140856,0.00609032861792533
model,2,1,0.7,1.0508887032,0.01031659402446665
model,2,1,0.8,1.2052934064,0.00936626089898692
model,2,1,0.9,1.418929426,0.008040578905530617
model,2,1,1,1.5362535052,0.015749468101124174
model,2,1,1.1,1.7667756294,0.01118827893459041
model,2,1,1.2,1.7926996607999999,0.01567730325040875
model,2,2,0.4,0.8011083488,0.011329007412496712
model,2,2,0.5,0.9074320352,0.008451631732334548
model,2,2,0.6,1.1213012942,0.009207397024385763
model,2,2,0.7,1.3078560594000002,0.011999027144848726
model,2,2,0.8,1.5191876722,0.0183705544699256
model,2,2,0.9,1.8002777288,0.019968579364791815
model,2,2,1,1.8824503328,0.010400074280816211
model,2,2,1.1,2.1389493056,0.01241609217732656
model,2,2,1.2,2.2985809184,0.018849370718442733
model,2,4,0.4,1.1091419406,0.006604345221197323
model,2,4,0.5,1.4126181876000001,0.013161069430852023
model,2,4,0.6,1.7522170698,0.013605366679797675
model,2,4,0.7,1.9739576704,0.010779376603286532
model,2,4,0.8,2.2031857280000002,0.0206591171100871
model,2,4,0.9,2.5242649504,0.024832200302461763
model,2,4,1,2.8154564544,0.015863561973968463
model,2,4,1.1,3.0319261600000003,0.02023746977914544
model,2,4,1.2,3.410043296,0.04447804735252783
model,2,8,0.4,2.2530011244,0.009620124007724745
model,2,8,0.5,2.7524815488,0.024868450097002566
model,2,8,0.6,3.3493686175999997,0.024512518809062266
model,2,8,0.7,3.8778355072,0.02350253337890461
model,2,8,0.8,4.593718048,0.03574097023998964
model,2,8,0.9,5.2237721728,0.053834644637777845
model,2,8,1,5.8142530432,0.025174227277167883
model,2,8,1.1,6.1480964928,0.04201843482133214
model,2,8,1.2,6.7169723712,0.032801367934789674
model,32,1,0.8,1.272383946,0.006169630543742913
model,32,1,0.9,1.3991471221,0.007013323507239681
model,32,1,1,1.574860216,0.007131836469986167
model,32,1,1.1,1.7194555952,0.011633074387360966
model,32,1,1.2,1.8494559811,0.009265349642260945
model,32,2,0.8,1.522770928,0.010377908999368808
model,32,2,0.9,1.73724728,0.012348497731190289
model,32,2,1,1.9820053701,0.012176642660604597
model,32,2,1.1,2.1161120222,0.015521645714471174
model,32,2,1.2,2.3401269289,0.01607459008008485
model,32,4,0.8,2.25026301315,0.010174453221414373
model,32,4,0.9,2.59166419785,0.017949531651359697
model,32,4,1,2.8297645989999998,0.01983020592052182
model,32,4,1.1,3.059483739,0.017428165385528025
model,32,4,1.2,3.3586173385,0.018278606374440627
model,32,8,0.8,4.6609835569,0.03591104281219541
model,32,8,0.9,5.1798873959,0.04007806651508433
model,32,8,1,5.7343444384,0.03142473351915968
model,32,8,1.1,6.267308696,0.04100792782134353
model,32,8,1.2,6.8043402832,0.025406132672501313
model,4,1,0.4,0.6472616858,0.003471432665877748
model,4,1,0.5,0.8066418876,0.005593567592203435
model,4,1,0.6,0.96255277400000006,0.008841999931661586
model,4,1,0.7,1.0999593452,0.010331037040852399
model,4,1,0.8,1.1912225232,0.008537100333504024
model,4,1,0.9,1.4085866634,0.016494888418057477
model,4,1,1,1.578659865,0.015376771011726598
model,4,1,1.1,1.7351178838,0.01091658633468777
model,4,1,1.2,1.8206329497,0.015451885808074385
model,4,2,0.4,0.8194225788,0.007041487650084252
model,4,2,0.5,0.9711021436,0.007432875909781583
model,4,2,0.6,1.1636260304000001,0.007577826872234925
model,4,2,0.7,1.3491024176,0.01049728354642394
model,4,2,0.8,1.5385883412,0.011375982071091643
model,4,2,0.9,1.7708265109,0.014005552442853375
model,4,2,1,1.803466246,0.011289973120553489
model,4,2,1.1,2.1320028124,0.016134320031504352
model,4,2,1.2,2.260881923,0.023827661700190187
model,4,4,0.4,1.1774038352,0.008369353700059352
model,4,4,0.5,1.4035331814,0.008980919812272796
model,4,4,0.6,1.750219954,0.01021115560616287
model,4,4,0.7,1.9586254488000001,0.011668628736007193
model,4,4,0.8,2.2753214654,0.022319289744025726
model,4,4,0.9,2.5576635371,0.020762255159654668
model,4,4,1,2.931662727,0.024840601344549202
model,4,4,1.1,3.2423452736000002,0.03200163315572842
model,4,4,1.2,3.3029739935999998,0.03043509069927897
model,4,8,0.4,2.2251570644,0.023508098399011308
model,4,8,0.5,2.8606369246,0.026599443666939126
model,4,8,0.6,3.4811369087,0.022551459600130937
model,4,8,0.7,3.866797728,0.03180728143969544
model,4,8,0.8,4.604999008,0.03171522115602722
model,4,8,0.9,5.1883815872,0.055216240553311036
model,4,8,1,5.4078426751999995,0.0451457387128247
model,4,8,1.1,6.5032966592,0.056366882928950104
model,4,8,1.2,6.9627995072,0.06239271790520253
model,64,1,0.8,1.2764458154,0.00724188077850677
model,64,1,0.9,1.422328393,0.008012305159124053
model,64,1,1,1.57272245045,0.009348145859630326
model,64,1,1.1,1.7633084656,0.008221975978769452
model,64,1,1.2,1.8706706656,0.008196808101001507
model,64,2,0.8,1.58271309665,0.010562452893228476
model,64,2,0.9,1.7114788416,0.009255334606558129
model,64,2,1,1.92736474595,0.00961477591467326
model,64,2,1.1,2.0297020434,0.013650033724925119
model,64,2,1.2,2.2270311208,0.016766069151663374
model,64,4,0.8,2.2535799442,0.012196372192233075
model,64,4,0.9,2.5720958664,0.017221623016541593
model,64,4,1,2.7971710262,0.012378589723474621
model,64,4,1.1,3.1288188586,0.02079358607461162
model,64,4,1.2,3.46236093875,0.019103322574628098
model,64,8,0.8,4.48016287635,0.030046601673932204
model,64,8,0.9,5.05907757405,0.02948106143128745
model,64,8,1,5.629403624,0.02507446831207674
model,64,8,1.1,6.123385432,0.03768442971406778
model,64,8,1.2,6.9382524384,0.050550833737797125
model,8,1,0.4,0.6618694646,0.004397974273297034
model,8,1,0.5,0.8227858158,0.006660563755435962
model,8,1,0.6,0.9755666486,0.006887453644135784
model,8,1,0.7,1.1361122006,0.006477247178120492
model,8,1,0.8,1.277073072,0.00955781093195097
model,8,1,0.9,1.389185213,0.013716746835294256
model,8,1,1,1.561494813,0.013925608294252132
model,8,1,1.1,1.6549802106,0.011279873559006023
model,8,1,1.2,1.8585403474,0.02342399242203531
model,8,2,0.4,0.7747543438,0.005657281813237864
model,8,2,0.5,0.9751848406,0.005231419214512907
model,8,2,0.6,1.1620328694,0.010380734443800228
model,8,2,0.7,1.3520159362,0.013303417372785818
model,8,2,0.8,1.5460326434,0.012604849605286827
model,8,2,0.9,1.7104425394,0.012135247510806767
model,8,2,1,1.9898518098,0.02064114485995513
model,8,2,1.1,2.0996599058,0.020972401387977554
model,8,2,1.2,2.3053655106,0.026051144269873303
model,8,4,0.4,1.1487734422,0.009810314879746302
model,8,4,0.5,1.4705348514,0.013570881845456021
model,8,4,0.6,1.7573010802,0.013126190040178311
model,8,4,0.7,1.9957283026000001,0.014350727534838128
model,8,4,0.8,2.3881956341999997,0.015295908151428998
model,8,4,0.9,2.5620082894,0.015402654649385214
model,8,4,1,2.807169164,0.013814880421402696
model,8,4,1.1,3.1000178806,0.03117620243489242
model,8,4,1.2,3.4385120683,0.03736225162416758
model,8,8,0.4,2.3091424978,0.02540687271511106
model,8,8,0.5,2.7353846558,0.02043729253117835
model,8,8,0.6,3.5673386734,0.01901711131320055
model,8,8,0.7,4.1583526967,0.022941566944700273
model,8,8,0.8,4.4884452928,0.036470875045155726
model,8,8,0.9,5.067861744,0.04514181586255535
model,8,8,1,5.6382320223999995,0.047733458377719536
model,8,8,1.1,6.4315465408,0.036194110639341186
model,8,8,1.2,6.7512558528,0.05073223355981144
profiling,1,1,0.4,0.306765184,4.6310762430869004e-5
profiling,1,1,0.5,0.3839219968,8.573980367498432e-5
profiling,1,1,0.6,0.46081407679999997,8.477295982112568e-5
profiling,1,1,0.8,0.6148721888,9.698265463037955e-5
profiling,1,1,0.9,0.6925184064,1.475683111554181e-4
profiling,1,1,1.0,0.7691998016,1.4432318978549645e-4
profiling,1,1,1.1,0.8468475168,1.2634844143395076e-4
profiling,1,1,1.2,0.9228545632,1.1804434819745992e-4
profiling,1,1,1.3,1.0000359264,1.280887554121903e-4
profiling,1,1,1.4,1.0767642527999999,1.2858589904111804e-4
profiling,1,2,0.4,0.5876014144,7.731645623468513e-4
profiling,1,2,0.5,0.7365283904,0.001184184676617055
profiling,1,2,0.6,0.884950448,0.0013274999492586881
profiling,1,2,0.8,1.1852764096,0.0018698537248197538
profiling,1,2,0.9,1.3361815392,0.003635956189311861
profiling,1,2,1.0,1.4674988352,0.002214515437898035
profiling,1,2,1.1,1.6136679872,0.0020766270988205092
profiling,1,2,1.2,1.756157792,0.0012455820560204334
profiling,1,2,1.3,1.9046126592,0.001619680818430009
profiling,1,2,1.4,2.051781776,0.002664963541729048
profiling,1,4,0.4,1.2449353952,0.0012638119030564774
profiling,1,4,0.5,1.558462816,0.0016919934822154446
profiling,1,4,0.6,1.8743606047999999,0.0010129293029214898
profiling,1,4,0.8,2.493159968,0.002159745622324997
profiling,1,4,0.9,2.8146255232,0.0016457970249978253
profiling,1,4,1.0,3.12319056,0.0021712765227966183
profiling,1,4,1.1,3.4269630144,0.003057476371578312
profiling,1,4,1.2,3.7456183296,0.003649576784905658
profiling,1,4,1.3,4.0503410016,0.003470331441199857
profiling,1,4,1.4,4.3568132608,0.002911758977127844
profiling,1,8,0.4,2.4855618432,0.0018504672051890484
profiling,1,8,0.5,3.0966958656,0.002765483793398039
profiling,1,8,0.6,3.7058113216,0.0034345225112669504
profiling,1,8,0.8,4.9740644544,0.0049813454252473416
profiling,1,8,0.9,5.5971761568,0.006215348609791817
profiling,1,8,1.0,6.1901769984,0.00700186357696216
profiling,1,8,1.1,6.8151957728,0.006739454559887391
profiling,1,8,1.2,7.425986272,0.0055678209108165734
profiling,1,8,1.3,8.0388334656,0.005821517471902183
profiling,1,8,1.4,8.6695361344,0.007148554115231275
profiling,128,1,0.8,0.7104576696,0.006945097209290562
profiling,128,1,0.9,0.7647558646,2.3256903494322712e-4
profiling,128,1,1,0.8370406207,8.028943944933437e-4
profiling,128,1,1.1,0.908857688,5.598115424359432e-4
profiling,128,1,1.2,0.98239770575,0.0012924536471563624
profiling,128,1,1.3,1.0501617824,7.305923040779101e-5
profiling,128,1,1.4,1.1241481897999999,1.6360942091153417e-4
profiling,128,1,1.5,1.197127577,8.55809821398675e-5
profiling,128,1,1.6,1.2709144282,1.476873060820691e-4
profiling,128,1,1.8,1.4176803114,1.0311484411009331e-4
profiling,128,1,2,1.5653087354,2.1035738654214258e-4
profiling,128,1,2.1,1.6386531568,1.3675980546903261e-4
profiling,128,2,0.8,1.2302009754,0.0010155431638658398
profiling,128,2,0.9,1.3644163514,9.727093994045753e-4
profiling,128,2,1,1.5164731562,0.0013791049639464393
profiling,128,2,1.1,1.652869905,0.0014642270281538016
profiling,128,2,1.2,1.7923288333,0.0017314215571058388
profiling,128,2,1.3,1.9262097952,0.0012473897830126638
profiling,128,2,1.4,2.0890215312000002,0.0022681214427109505
