type,gpus,ubatch,coef,total_time_ms,total_time_ms_ci
profiling,128,2,1.5,2.2286367072,0.002225939993212258
profiling,128,2,1.6,2.3757404174,0.0023024198119713027
profiling,128,4,0.8,2.4823373888,0.0011860938548932198
profiling,128,4,0.9,2.793867107,0.0013367106005209553
profiling,128,4,1,3.0942616206,0.0017670196027216173
profiling,128,4,1.1,3.3993399006,0.0021195694123148636
profiling,128,4,1.2,3.6990153550000002,0.001961961617558197
profiling,128,8,0.8,4.96014071555,0.004088825336360858
profiling,128,8,0.9,5.5816713756,0.008147786438921745
profiling,128,8,1,6.1758036908000005,0.004128027522773231
profiling,128,8,1.1,6.7876162128,0.004007593970017286
profiling,128,8,1.2,7.4001166672,0.004830293151740209
profiling,16,1,0.8,0.6725424322,4.899494272813904e-4
profiling,16,1,0.9,0.7441492664,1.7327225097518283e-4
profiling,16,1,1,0.81755234975,4.962202313462424e-4
profiling,16,1,1.1,0.8890027172,2.563427756142676e-4
profiling,16,1,1.2,0.9635670856,5.223531420664913e-4
profiling,16,1,1.3,1.0307318424,1.0968835781883103e-4
profiling,16,1,1.4,1.1059110072,9.731666553124515e-5
profiling,16,1,1.5,1.1803424024,1.1930595871059191e-4
profiling,16,1,1.6,1.2544112136,1.2468965471024163e-4
profiling,16,2,0.8,1.20926481135,8.828185860798097e-4
profiling,16,2,0.9,1.3573954968,0.0015047880220350166
profiling,16,2,1,1.4959768998,0.0015091998794385887
profiling,16,2,1.1,1.6401216054,0.001086935898270837
profiling,16,2,1.2,1.7850238902,0.001793602650013992
profiling,16,2,1.3,1.92820982215,0.0016558165423203285
profiling,16,2,1.4,2.0733026332,0.0015252099880996629
profiling,16,2,1.5,2.2177140012,0.0022770738053552167
profiling,16,2,1.6,2.3604456972,0.0021564156193774747
profiling,16,4,0.8,2.472985774,0.0015745090676419808
profiling,16,4,0.9,2.8001614268,0.0034262475115936814
profiling,16,4,1,3.0858140252,0.001293915167532244
profiling,16,4,1.1,3.3958666892,0.0014666535916474722
profiling,16,4,1.2,3.7083722389,0.0020661088648020833
profiling,16,8,0.8,4.938808296,0.0029544508263768567
profiling,16,8,0.9,5.5713619452,0.00472543895053515
profiling,16,8,1,6.2064495728,0.0055569281910801795
profiling,16,8,1.1,6.8011778752,0.004080891023089248
profiling,16,8,1.2,7.4316151632,0.006309051040251673
profiling,2,1,0.4,0.3388666822,7.580704007933938e-5
profiling,2,1,0.5,0.410704006,3.7631591091352174e-5
profiling,2,1,0.6,0.48301386,4.3653004014457675e-5
profiling,2,1,0.8,0.63071226,8.019807868433773e-5
profiling,2,1,0.9,0.7048602016,0.00013695675465219673
profiling,2,1,1.0,0.7800040416,1.0322691614766476e-4
profiling,2,1,1.1,0.8541924192,9.524603842621204e-5
profiling,2,1,1.2,0.9297786232,1.3588527404835956e-4
profiling,2,1,1.3,1.006455084,1.2491492698301943e-4
profiling,2,1,1.4,1.0819079768,1.4690949245355786e-4
profiling,2,2,0.4,0.605887316,8.390097692054231e-4
profiling,2,2,0.5,0.7522964168,0.0010203001936362418
profiling,2,2,0.6,0.8878177984,6.938045114784253e-4
profiling,2,2,0.8,1.1910247928,0.001897021386739583
profiling,2,2,0.9,1.3257334488,0.0015111643879631381
profiling,2,2,1.0,1.4687167992,0.0021768862536856747
profiling,2,2,1.1,1.6246747832,0.002872396477910404
profiling,2,2,1.2,1.7608789172000001,0.0022093206116472466
profiling,2,2,1.3,1.9023896404,0.0010489365304778174
profiling,2,2,1.4,2.068184818,0.003702844026169043
profiling,2,4,0.4,1.2561703736,0.0014976754853616415
profiling,2,4,0.5,1.5597888824,0.001533516754267997
profiling,2,4,0.6,1.8724767512,0.0016158473686606085
profiling,2,4,0.8,2.4957511796,0.0020438950146615398
profiling,2,4,0.9,2.8051699474,0.0022045372312035623
profiling,2,4,1.0,3.1224597791999997,0.0021331704786620373
profiling,2,4,1.1,3.4215924192,0.0034876695078809514
profiling,2,4,1.2,3.7421935168,0.0038434955472504296
profiling,2,4,1.3,4.0571780128,0.001813097391143063
profiling,2,4,1.4,4.364323135999999,0.0019229739682061703
profiling,2,8,0.4,2.481241634,0.002296573223388271
profiling,2,8,0.5,3.0929210879999998,0.002601926461921942
profiling,2,8,0.6,3.722267376,0.0035460759665510667
profiling,2,8,0.8,4.9397708864,0.00316730209812368
profiling,2,8,0.9,5.6538760288,0.033466719002288876
profiling,2,8,1.0,6.1762538528,0.004620499480594255
profiling,2,8,1.1,6.8274112384,0.0048868618372274264
profiling,2,8,1.2,7.4144259072,0.0055052297488261195
profiling,2,8,1.3,8.069005808,0.007263049517958508
profiling,2,8,1.4,8.6744541696,0.008622466974480365
profiling,32,1,0.8,0.6780688018,2.56907637347108e-4
profiling,32,1,0.9,0.75187350215,5.641072698289563e-4
profiling,32,1,1,0.8634764096,0.016271341518453296
profiling,32,1,1.1,0.9019901446,0.002370902731347335
profiling,32,1,1.2,0.9694950756,7.056030810719696e-4
profiling,32,1,1.3,1.038384866,9.357599187002295e-5
profiling,32,1,1.4,1.1120168212,8.050581039546158e-5
profiling,32,1,1.5,1.181645066,1.1412905670064814e-4
profiling,32,1,1.6,1.2564064484,1.0393010719738605e-4
profiling,32,1,1.8,1.4046876885,2.318967357403284e-4
profiling,32,1,2,1.5554019872,1.813446392139749e-4
profiling,32,1,2.1,1.631644136,1.3983877485065788e-4
profiling,32,2,0.8,1.2329494127,0.006588951597191398
profiling,32,2,0.9,1.3572731983,0.0013488248570893905
profiling,32,2,1,1.4988114804000001,0.0011862677475067754
profiling,32,2,1.1,1.64304332495,0.0015950756884370412
profiling,32,2,1.2,1.7881915411,0.0019370274540083682
profiling,32,2,1.3,1.9269318384,0.0017463542113057202
profiling,32,2,1.4,2.075365539,0.002210381608132394
profiling,32,2,1.5,2.2216553118,0.0019056783150428356
profiling,32,2,1.6,2.3724440478,0.0021822891308065566
profiling,32,4,0.8,2.475869403,0.001954750649182668
profiling,32,4,0.9,2.785382555,0.001157357767718744
profiling,32,4,1,3.1001927534,0.0024543042566840833
profiling,32,4,1.1,3.3949031374,0.002937689961888576
profiling,32,4,1.2,3.6999867502,0.002000701226118987
profiling,32,8,0.8,4.935305518,0.003806429071728859
profiling,32,8,0.9,5.5926012428,0.005216792811395506
profiling,32,8,1,6.194656448,0.004656842115443065
profiling,32,8,1.1,6.8404019056,0.004553672661988082
profiling,32,8,1.2,7.435995728,0.005313402291946973
profiling,4,1,0.4,0.3665583568,4.386290279014533e-5
profiling,4,1,0.5,0.43753257759999997,5.913168849626324e-5
profiling,4,1,0.6,0.5089130096,1.826710822156593e-4
profiling,4,1,0.8,0.6526565946,8.243999723801794e-5
profiling,4,1,0.9,0.7250318396,1.1623256650464183e-4
profiling,4,1,1.0,0.798336262,7.690856456173727e-5
profiling,4,1,1.1,0.8724759228000001,1.1841891648472804e-4
profiling,4,1,1.2,0.9461910716,1.330926949039878e-4
profiling,4,1,1.3,1.0193666524,9.564133084743471e-5
profiling,4,1,1.4,1.0945820560000001,2.0703164180594844e-4
profiling,4,2,0.4,0.6293835098,7.699083536706114e-4
profiling,4,2,0.5,0.7721668474,8.786521233265298e-4
profiling,4,2,0.6,0.9144587324,0.001552278679652161
profiling,4,2,0.8,1.1934748368,0.0015047742999045677
profiling,4,2,0.9,1.341284232,0.0022060942103410033
profiling,4,2,1.0,1.4864293424,0.00211740834155698
profiling,4,2,1.1,1.6202946452,0.0020806685821445005
profiling,4,2,1.2,1.7786180084,0.0031182185753822764
profiling,4,2,1.3,1.928547154,0.003204842061263994
profiling,4,2,1.4,2.0688787604,0.003510766970962434
profiling,4,4,0.4,1.2642637116,8.835762427762882e-4
profiling,4,4,0.5,1.5763759568,0.0011896061953387638
profiling,4,4,0.6,1.8796805972000001,0.001982138738946538
profiling,4,4,0.8,2.5033833908000003,0.0021462238645895367
profiling,4,4,0.9,2.8137828148,0.0018673221079562525
profiling,4,4,1.0,3.1244116054,0.0018238702121737003
profiling,4,4,1.1,3.444678371,0.002257204008470064
profiling,4,4,1.2,3.7585964254,0.001761766949424189
profiling,4,4,1.3,4.0539238462,0.0028865768398116916
profiling,4,4,1.4,4.3673233376,0.00432354711739315
profiling,4,8,0.4,2.4909919412,0.002113548740196474
profiling,4,8,0.5,3.087887618,0.001801032028339726
profiling,4,8,0.6,3.7278117406,0.0028268545833822134
profiling,4,8,0.8,4.9608682239999995,0.00588384512141711
profiling,4,8,0.9,5.559454044800001,0.006785160811797686
profiling,4,8,1.0,6.1772336704,0.0072544101637255646
profiling,4,8,1.1,6.8085057888,0.0073099671467024875
profiling,4,8,1.2,7.4097543488,0.008859507270366999
profiling,4,8,1.3,8.0538279488,0.01019681355498558
profiling,4,8,1.4,8.6607468224,0.008562920628487576
profiling,64,1,0.8,0.684256623,2.952974486993065e-4
profiling,64,1,0.9,0.7551193004,2.5618468199615894e-4
profiling,64,1,1,0.8305693715,0.0013232886971587616
profiling,64,1,1.1,0.8998132676,5.037037091043975e-4
profiling,64,1,1.2,0.97602122135,0.0011311707155395943
profiling,64,1,1.3,1.0428639498,7.363379616719386e-5
profiling,64,1,1.4,1.117849697,4.896730681873682e-4
profiling,64,1,1.5,1.1908349562,1.137497536361455e-4
profiling,64,1,1.6,1.263784953,1.121992445892545e-4
profiling,64,1,1.8,1.4114407354,1.2542502434043348e-4
profiling,64,1,2,1.5596051168,1.3433299233314293e-4
profiling,64,1,2.1,1.6358990784,2.6148317277604387e-4
profiling,64,2,0.8,1.2212181018000001,0.0012303190362503722
profiling,64,2,0.9,1.3563955338,8.030469226371381e-4
profiling,64,2,1,1.4969128298,9.005580730291487e-4
profiling,64,2,1.1,1.6634593522,0.005004796621157904
profiling,64,2,1.2,1.7903893952,0.0016354867987333824
profiling,64,2,1.3,1.9319134288,0.0012910857098600299
profiling,64,2,1.4,2.0718362672,0.002063461639914595
profiling,64,2,1.5,2.221803837,0.0019485295544027124
profiling,64,2,1.6,2.3655328402,0.0021987982906649262
profiling,64,4,0.8,2.4850314514,0.0019395330054791525
profiling,64,4,0.9,2.7820399186,0.0016390591133122032
profiling,64,4,1,3.0885153474,0.0017048706689590549
profiling,64,4,1.1,3.3936942226,0.0015608754531026396
profiling,64,4,1.2,3.7019353106,0.001971174752867823
profiling,64,8,0.8,4.9594966026,0.0035034554881068496
profiling,64,8,0.9,5.5890964906,0.005844717462151163
profiling,64,8,1,6.1906602369,0.004465338848929048
profiling,64,8,1.1,6.8132566464,0.0052949446884312
profiling,64,8,1.2,7.4340669168,0.00644946785975182
profiling,8,1,0.4,0.3805545896,2.9620222433807597e-5
profiling,8,1,0.5,0.4515625864,3.245465013848231e-5
profiling,8,1,0.6,0.5227729288,4.75294278633951e-5
profiling,8,1,0.8,0.6652672238,1.0133213168606093e-4
profiling,8,1,0.9,0.7376369326,1.1903152028757315e-4
profiling,8,1,1.0,0.8096234766,1.2168746016206529e-4
profiling,8,1,1.1,0.883261327,1.5101046345745265e-4
profiling,8,1,1.2,0.956424351,1.2594242263442248e-4
profiling,8,1,1.3,1.030494719,1.1510769469535416e-4
profiling,8,1,1.4,1.1050337398,1.660830195799697e-4
profiling,8,2,0.4,0.6444129736,9.332083875697761e-4
profiling,8,2,0.5,0.7796669774,9.141549826703955e-4
profiling,8,2,0.6,0.932279851,0.0014239382176600146
profiling,8,2,0.8,1.2041229558,0.0012238405722575182
profiling,8,2,0.9,1.3459905252,0.0015705080482795303
profiling,8,2,1.0,1.4803678946,0.0010663518334766997
profiling,8,2,1.1,1.646820541,0.003482053570795506
profiling,8,2,1.2,1.7761518562,0.0019161543816850618
profiling,8,2,1.3,1.9193649682,0.0027425671923508145
profiling,8,2,1.4,2.053704565,0.0011641218183514942
profiling,8,4,0.4,1.276613839,6.873662092714717e-4
profiling,8,4,0.5,1.5864330114,0.001381343841887958
profiling,8,4,0.6,1.8945494146,0.0021029457238188453
profiling,8,4,0.8,2.5064798898,0.0013790054860251008
profiling,8,4,0.9,2.8113251186,0.002178245896768038
profiling,8,4,1.0,3.1297928626,0.0019547057765019068
profiling,8,4,1.1,3.4383979634,0.0020932650886915155
profiling,8,4,1.2,3.7055956398000003,0.0021747812317788142
profiling,8,4,1.3,4.0100892494,0.0029294691656529272
profiling,8,4,1.4,4.3058441454,0.0037931710252717982
profiling,8,8,0.4,2.486935829,0.0033955091694689017
profiling,8,8,0.5,3.1240322706,0.003254465877070495
profiling,8,8,0.6,3.732335365,0.004520849816534069
profiling,8,8,0.8,4.977051707,0.005653007114186697
profiling,8,8,0.9,5.5610288,0.0065668671858784035
profiling,8,8,1.0,6.214179488,0.007342842272052362
profiling,8,8,1.1,6.8016032704,0.007734516224048568
profiling,8,8,1.2,7.3925944608,0.0066520942156901965
profiling,8,8,1.3,8.0357748768,0.008761042314515835
profiling,8,8,1.4,8.6921252416,0.011853347142363276
roofline,1,1,no,0.568881984,0
roofline,1,2,no,1.114553856,0
roofline,1,4,no,2.205895488,0
roofline,1,8,no,4.388580224,0
roofline,128,1,no,0.7361473519999999,0
roofline,128,2,no,1.279047512,0
roofline,128,4,no,2.364845976,0
roofline,128,8,no,4.5364441200000005,0
roofline,16,1,no,0.668571328,0
roofline,16,2,no,1.211471488,0
roofline,16,4,no,2.297269952,0
roofline,16,8,no,4.468868096,0
roofline,2,1,no,0.61816796,0
roofline,2,2,no,1.1610681200000001,0
roofline,2,4,no,2.2468665839999997,0
roofline,2,8,no,4.423555696,0
roofline,32,1,no,0.6775193199999999,0
roofline,32,2,no,1.22041948,0
roofline,32,4,no,2.306217944,0
roofline,32,8,no,4.477816088000001,0
roofline,4,1,no,0.6448299279999999,0
roofline,4,2,no,1.187730088,0
roofline,4,4,no,2.273528552,0
roofline,4,8,no,4.447187408,0
roofline,64,1,no,0.6956635280000001,0
roofline,64,2,no,1.2385636880000002,0
roofline,64,4,no,2.324362152,0
roofline,64,8,no,4.495960296,0
roofline,8,1,no,0.6592304880000001,0
roofline,8,2,no,1.202130648,0
roofline,8,4,no,2.287929112,0
roofline,8,8,no,4.459880448,0
real,128,1,NA,1.8245562672615052,0.0019414040929485656
real,128,2,NA,2.2866021037101745,0.004611082402912742
real,16,1,NA,1.3577665448188783,0.0018063294978208223
real,16,2,NA,1.8259960412979126,0.0055220319754337235
real,1,1,NA,0.8688737869262695,0.014422186109703822
real,1,2,NA,1.5539122819900513,0.010256160450380105
real,1,4,NA,2.9288176536560058,0.009105459750614475
real,1,8,NA,5.643936741352081,0.0064201115872156225
real,2,1,NA,1.0518826127052308,0.03585026134185123
real,2,2,NA,1.8002147793769836,0.03178929448516519
real,2,4,NA,3.369495177268982,0.024329554884529654
real,2,8,NA,6.435111939907074,0.01260431570807674
real,32,1,NA,1.612074041366577,0.0027414311533257166
real,32,2,NA,2.0765108942985533,0.0035731527892368057
real,4,1,NA,1.002911341190338,0.03517727437768447
real,4,2,NA,1.735420048236847,0.030067443660870653
real,4,4,NA,3.274771535396576,0.030069429619822965
real,4,8,NA,6.282730352878571,0.0266683275562786
real,64,1,NA,1.7365200519561768,0.0034086084261528786
real,64,2,NA,2.206841731071472,0.008026005257401986
real,8,1,NA,1.0357391119003296,0.0738828048351121
real,8,2,NA,1.7516148686408997,0.040052184618416246
real,8,4,NA,3.339084041118622,0.074149164816015
real,8,8,NA,6.1670799374580385,0.04506120188099549
